year,sadness_pct,screen_hours_day
2008,27.2,3.8
2010,32.1,4.4
2012,29.1,5.2
2014,30.0,6.1
2016,32.8,7.2
2018,34.2,7.7
2020,40.2,8.9
2022,40.8,9.4
