FIPS Code,State,Area name,Attribute,Value
12049,FL,Hardee County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.25428691
12021,FL,Collier County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.54141632
13191,GA,McIntosh County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.63389216
13183,GA,Long County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.82307972
13109,GA,Evans County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.09272468
13139,GA,Hall County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.73172557
13037,GA,Calhoun County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.14353612
13315,GA,Wilcox County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.07942238
13089,GA,DeKalb County,"Percent of adults with a bachelor's degree or higher, 2019-23",46.74763068
13277,GA,Tift County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.19230769
13127,GA,Glynn County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.44181746
15003,HI,Honolulu County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.72299534
15007,HI,Kauai County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.23588816
15009,HI,Maui County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.07366421
15005,HI,Kalawao County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.55813953
15001,HI,Hawaii County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.90440361
16087,ID,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.03699816
16041,ID,Franklin County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.47468569
16007,ID,Bear Lake County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.33224146
16029,ID,Caribou County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.52401747
16005,ID,Bannock County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.20585278
16085,ID,Valley County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.35642411
16051,ID,Jefferson County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.18099306
16035,ID,Clearwater County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.44992948
16009,ID,Benewah County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.80464326
17055,IL,Franklin County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.12315865
17145,IL,Perry County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.26058718
17183,IL,Vermilion County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.2329394
17081,IL,Jefferson County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.37319093
17167,IL,Sangamon County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.11987891
17127,IL,Massac County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.27216005
17101,IL,Lawrence County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.59728507
17165,IL,Saline County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.23487962
17117,IL,Macoupin County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.77699193
18037,IN,Dubois County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.31095406
18067,IN,Howard County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.97961088
18035,IN,Delaware County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.69047789
18063,IN,Hendricks County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.58417691
18143,IN,Scott County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.3655598
18137,IN,Ripley County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.35776579
18149,IN,Starke County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.55751181
18109,IN,Morgan County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.56141323
18103,IN,Miami County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.11274549
19093,IA,Ida County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.69550466
19057,IA,Des Moines County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.836023
19035,IA,Cherokee County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.63103531
19131,IA,Mitchell County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.71219242
19127,IA,Marshall County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.44715508
19023,IA,Butler County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.44062438
19193,IA,Woodbury County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.39811002
19013,IA,Black Hawk County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.13706873
19029,IA,Cass County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.56671013
20039,KS,Decatur County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.80847145
20161,KS,Riley County,"Percent of adults with a bachelor's degree or higher, 2019-23",47.97643088
20041,KS,Dickinson County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.93083353
20203,KS,Wichita County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.83959044
20175,KS,Seward County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.66213224
20109,KS,Logan County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.6562337
20153,KS,Rawlins County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.29405346
20017,KS,Chase County,"Percent of adults with a bachelor's degree or higher, 2019-23",29.27350427
20099,KS,Labette County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.07038123
21097,KY,Harrison County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.13065937
21153,KY,Magoffin County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.18938927
21119,KY,Knott County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.84913354
21135,KY,Lewis County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.28961268
21065,KY,Estill County,"Percent of adults with a bachelor's degree or higher, 2019-23",9.857213195
21141,KY,Logan County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.56786108
21221,KY,Trigg County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.30341838
21003,KY,Allen County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.38002594
21175,KY,Morgan County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.58295222
22029,LA,Concordia Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",17.37395129
22087,LA,St. Bernard Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",17.19071811
22113,LA,Vermilion Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",16.84449011
22069,LA,Natchitoches Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",25.61355932
22097,LA,St. Landry Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",14.32986215
22035,LA,East Carroll Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",10.95058626
22099,LA,St. Martin Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",15.34325301
22083,LA,Richland Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",18.10632461
22043,LA,Grant Parish,"Percent of adults with a bachelor's degree or higher, 2019-23",12.77028746
23007,ME,Franklin County,"Percent of adults with a bachelor's degree or higher, 2019-23",29.90207347
23009,ME,Hancock County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.17598092
23013,ME,Knox County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.10289062
23005,ME,Cumberland County,"Percent of adults with a bachelor's degree or higher, 2019-23",52.16354177
23015,ME,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",40.03759398
23001,ME,Androscoggin County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.44035934
23029,ME,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.91054106
23017,ME,Oxford County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.49882469
23025,ME,Somerset County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.31048885
24035,MD,Queen Anne's County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.22942541
24009,MD,Calvert County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.26277586
24043,MD,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.5213395
24021,MD,Frederick County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.88263401
24510,MD,Baltimore city,"Percent of adults with a bachelor's degree or higher, 2019-23",35.42740539
24015,MD,Cecil County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.90086556
24011,MD,Caroline County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.57313015
24025,MD,Harford County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.48278397
24013,MD,Carroll County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.74110885
25017,MA,Middlesex County,"Percent of adults with a bachelor's degree or higher, 2019-23",58.98671735
